Tag Name,Timestamp,Value
RZR__MTR_001,2024-01-01T00:00:00,10.642
RZR__MTR_001,2024-01-01T00:10:00,20.667
RZR__MTR_001,2024-01-01T00:20:00,14.968
RZR__MTR_001,2024-01-01T00:30:00,19.156
RZR__MTR_001,2024-01-01T00:40:00,17.836
RZR__MTR_001,2024-01-01T00:50:00,14.794
RZR__MTR_001,2024-01-01T01:00:00,15.206
RZR__MTR_001,2024-01-01T01:10:00,19.904
RZR__MTR_001,2024-01-01T01:20:00,13.104
RZR__MTR_001,2024-01-01T01:30:00,14.39
RZR__MTR_001,2024-01-01T01:40:00,20.784
RZR__MTR_001,2024-01-01T01:50:00,16.724
RZR__MTR_001,2024-01-01T02:00:00,16.085
RZR__MTR_001,2024-01-01T02:10:00,14.695
RZR__MTR_001,2024-01-01T02:20:00,13.142
RZR__MTR_001,2024-01-01T02:30:00,18.029
RZR__MTR_001,2024-01-01T02:40:00,13.58
RZR__MTR_001,2024-01-01T02:50:00,12.414
RZR__MTR_001,2024-01-01T03:00:00,21.518
RZR__MTR_001,2024-01-01T03:10:00,12.857
RZR__MTR_001,2024-01-01T03:20:00,14.542
RZR__MTR_001,2024-01-01T03:30:00,13.906
RZR__MTR_001,2024-01-01T03:40:00,19.625
RZR__MTR_001,2024-01-01T03:50:00,18.285
RZR__MTR_001,2024-01-01T04:00:00,16.856
RZR__MTR_001,2024-01-01T04:10:00,21.296
RZR__MTR_001,2024-01-01T04:20:00,17.079
RZR__MTR_001,2024-01-01T04:30:00,14.504
RZR__MTR_001,2024-01-01T04:40:00,17.962
RZR__MTR_001,2024-01-01T04:50:00,10.153
RZR__MTR_001,2024-01-01T05:00:00,16.559
RZR__MTR_001,2024-01-01T05:10:00,13.49
RZR__MTR_001,2024-01-01T05:20:00,16.108
RZR__MTR_001,2024-01-01T05:30:00,13.082
RZR__MTR_001,2024-01-01T05:40:00,19.031
RZR__MTR_001,2024-01-01T05:50:00,12.148
RZR__MTR_001,2024-01-01T06:00:00,16.636
RZR__MTR_001,2024-01-01T06:10:00,13.497
